ImageNet_ID,ImageNet_Class,CIFAR_Superclass
n01440764,tench,fish
n01443537,goldfish,fish
n01484850,great_white_shark,fish
n01491361,tiger_shark,fish
n01494475,hammerhead,fish
n01496331,electric_ray,fish
n01498041,stingray,fish
n01514668,cock,aquatic mammals
n01514859,hen,small mammals
n01518878,ostrich,large omnivores and herbivores
n01530575,brambling,aquatic mammals
n01531178,goldfinch,small mammals
n01532829,house_finch,large man-made outdoor things
n01534433,junco,small mammals
n01537544,indigo_bunting,fruit and vegetables
n01558993,robin,fish
n01560419,bulbul,small mammals
n01580077,jay,fish
n01582220,magpie,small mammals
n01592084,chickadee,small mammals
n01601694,water_ouzel,vehicles 2
n01608432,kite,fish
n01614925,bald_eagle,vehicles 1
n01616318,vulture,small mammals
n01622779,great_grey_owl,household furniture
n01629819,European_fire_salamander,fish
n01630670,common_newt,medium-sized mammals
n01631663,eft,medium-sized mammals
n01632458,spotted_salamander,fish
n01632777,axolotl,flowers
n01641577,bullfrog,fish
n01644373,tree_frog,trees
n01644900,tailed_frog,large omnivores and herbivores
n01664065,loggerhead,reptiles
n01665541,leatherback_turtle,reptiles
n01667114,mud_turtle,reptiles
n01667778,terrapin,reptiles
n01669191,box_turtle,reptiles
n01675722,banded_gecko,reptiles
n01677366,common_iguana,reptiles
n01682714,American_chameleon,reptiles
n01685808,whiptail,reptiles
n01687978,agama,reptiles
n01688243,frilled_lizard,reptiles
n01689811,alligator_lizard,reptiles
n01692333,Gila_monster,reptiles
n01693334,green_lizard,reptiles
n01694178,African_chameleon,reptiles
n01695060,Komodo_dragon,reptiles
n01697457,African_crocodile,reptiles
n01698640,American_alligator,fish
n01704323,triceratops,reptiles
n01728572,thunder_snake,reptiles
n01728920,ringneck_snake,reptiles
n01729322,hognose_snake,reptiles
n01729977,green_snake,reptiles
n01734418,king_snake,reptiles
n01735189,garter_snake,reptiles
n01737021,water_snake,reptiles
n01739381,vine_snake,reptiles
n01740131,night_snake,reptiles
n01742172,boa_constrictor,reptiles
n01744401,rock_python,reptiles
n01748264,Indian_cobra,reptiles
n01749939,green_mamba,reptiles
n01751748,sea_snake,reptiles
n01753488,horned_viper,reptiles
n01755581,diamondback,reptiles
n01756291,sidewinder,reptiles
n01768244,trilobite,small mammals
n01770081,harvestman,small mammals
n01770393,scorpion,large man-made outdoor things
n01773157,black_and_gold_garden_spider,non-insect invertebrates
n01773549,barn_spider,non-insect invertebrates
n01773797,garden_spider,non-insect invertebrates
n01774384,black_widow,non-insect invertebrates
n01774750,tarantula,non-insect invertebrates
n01775062,wolf_spider,non-insect invertebrates
n01776313,tick,insects
n01784675,centipede,insects
n01795545,black_grouse,people
n01796340,ptarmigan,small mammals
n01797886,ruffed_grouse,aquatic mammals
n01798484,prairie_chicken,large omnivores and herbivores
n01806143,peacock,small mammals
n01806567,quail,small mammals
n01807496,partridge,small mammals
n01817953,African_grey,vehicles 1
n01818515,macaw,small mammals
n01819313,sulphur-crested_cockatoo,small mammals
n01820546,lorikeet,small mammals
n01824575,coucal,small mammals
n01828970,bee_eater,insects
n01829413,hornbill,small mammals
n01833805,hummingbird,small mammals
n01843065,jacamar,aquatic mammals
n01843383,toucan,small mammals
n01847000,drake,fish
n01855032,red-breasted_merganser,people
n01855672,goose,fruit and vegetables
n01860187,black_swan,people
n01871265,tusker,aquatic mammals
n01872401,echidna,small mammals
n01873310,platypus,small mammals
n01877812,wallaby,large omnivores and herbivores
n01882714,koala,aquatic mammals
n01883070,wombat,small mammals
n01910747,jellyfish,insects
n01914609,sea_anemone,flowers
n01917289,brain_coral,flowers
n01924916,flatworm,non-insect invertebrates
n01930112,nematode,non-insect invertebrates
n01943899,conch,non-insect invertebrates
n01944390,snail,non-insect invertebrates
n01945685,slug,large omnivores and herbivores
n01950731,sea_slug,large natural outdoor scenes
n01955084,chiton,fish
n01968897,chambered_nautilus,trees
n01978287,Dungeness_crab,non-insect invertebrates
n01978455,rock_crab,non-insect invertebrates
n01980166,fiddler_crab,non-insect invertebrates
n01981276,king_crab,non-insect invertebrates
n01983481,American_lobster,non-insect invertebrates
n01984695,spiny_lobster,non-insect invertebrates
n01985128,crayfish,non-insect invertebrates
n01986214,hermit_crab,non-insect invertebrates
n01990800,isopod,small mammals
n02002556,white_stork,small mammals
n02002724,black_stork,people
n02006656,spoonbill,small mammals
n02007558,flamingo,small mammals
n02009229,little_blue_heron,large omnivores and herbivores
n02009912,American_egret,vehicles 1
n02011460,bittern,small mammals
n02012849,crane,vehicles 1
n02013706,limpkin,aquatic mammals
n02017213,European_gallinule,vehicles 1
n02018207,American_coot,vehicles 1
n02018795,bustard,small mammals
n02025239,ruddy_turnstone,flowers
n02027492,red-backed_sandpiper,fruit and vegetables
n02028035,redshank,small mammals
n02033041,dowitcher,aquatic mammals
n02037110,oystercatcher,small mammals
n02051845,pelican,small mammals
n02056570,king_penguin,large man-made outdoor things
n02058221,albatross,small mammals
n02066245,grey_whale,aquatic mammals
n02071294,killer_whale,aquatic mammals
n02074367,dugong,fish
n02077923,sea_lion,aquatic mammals
n02085620,Chihuahua,small mammals
n02085782,Japanese_spaniel,vehicles 1
n02085936,Maltese_dog,small mammals
n02086079,Pekinese,vehicles 2
n02086240,Shih-Tzu,small mammals
n02086646,Blenheim_spaniel,large natural outdoor scenes
n02086910,papillon,large natural outdoor scenes
n02087046,toy_terrier,aquatic mammals
n02087394,Rhodesian_ridgeback,aquatic mammals
n02088094,Afghan_hound,vehicles 1
n02088238,basset,small mammals
n02088364,beagle,small mammals
n02088466,bloodhound,small mammals
n02088632,bluetick,aquatic mammals
n02089078,black-and-tan_coonhound,people
n02089867,Walker_hound,fish
n02089973,English_foxhound,vehicles 1
n02090379,redbone,aquatic mammals
n02090622,borzoi,aquatic mammals
n02090721,Irish_wolfhound,vehicles 1
n02091032,Italian_greyhound,vehicles 1
n02091134,whippet,aquatic mammals
n02091244,Ibizan_hound,small mammals
n02091467,Norwegian_elkhound,vehicles 1
n02091635,otterhound,aquatic mammals
n02091831,Saluki,aquatic mammals
n02092002,Scottish_deerhound,vehicles 1
n02092339,Weimaraner,aquatic mammals
n02093256,Staffordshire_bullterrier,vehicles 1
n02093428,American_Staffordshire_terrier,vehicles 1
n02093647,Bedlington_terrier,large natural outdoor scenes
n02093754,Border_terrier,small mammals
n02093859,Kerry_blue_terrier,people
n02093991,Irish_terrier,vehicles 1
n02094114,Norfolk_terrier,vehicles 1
n02094258,Norwich_terrier,small mammals
n02094433,Yorkshire_terrier,small mammals
n02095314,wire-haired_fox_terrier,medium-sized mammals
n02095570,Lakeland_terrier,vehicles 1
n02095889,Sealyham_terrier,small mammals
n02096051,Airedale,aquatic mammals
n02096177,cairn,large natural outdoor scenes
n02096294,Australian_terrier,vehicles 1
n02096437,Dandie_Dinmont,aquatic mammals
n02096585,Boston_bull,vehicles 1
n02097047,miniature_schnauzer,large natural outdoor scenes
n02097130,giant_schnauzer,small mammals
n02097209,standard_schnauzer,small mammals
n02097298,Scotch_terrier,aquatic mammals
n02097474,Tibetan_terrier,large natural outdoor scenes
n02097658,silky_terrier,fruit and vegetables
n02098105,soft-coated_wheaten_terrier,fruit and vegetables
n02098286,West_Highland_white_terrier,vehicles 1
n02098413,Lhasa,large natural outdoor scenes
n02099267,flat-coated_retriever,aquatic mammals
n02099429,curly-coated_retriever,people
n02099601,golden_retriever,fruit and vegetables
n02099712,Labrador_retriever,small mammals
n02099849,Chesapeake_Bay_retriever,vehicles 1
n02100236,German_short-haired_pointer,people
n02100583,vizsla,aquatic mammals
n02100735,English_setter,vehicles 1
n02100877,Irish_setter,vehicles 1
n02101006,Gordon_setter,fish
